,,Zestaw →,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,2,,,,3,3,3,3,3,3,,,,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,5,5,,,,7,7,7,7,7,7,,,,,,8,8,8,8,8,8,8,8,,,,,,
ID:,,Zadanie →,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,,suma punktów,l. zadań:,,A,B,C,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,A,B,C,D,E,F,G,H,suma punktów,l. zadań:,,A,B,C,D,E,F,G,I,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,,,A,B,C,D,E,F,G,H,total points:,total assign:,,,Kolokwium 1:,Kolokwium 2:
6963332,,,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,,8,8,,2,3,1,6,3,,2,2,4,5,2,5,20,6,,2,2,2,2,2,2,2,2,16,8,,2,2,4,2,2,0,2,2,16,7,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,5,5
2421825,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,
7903925,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,5,0,0,5,1,,0,2,2,2,2,2,0,0,10,5,,2,2,0,0,0,0,2,0,6,3,,0,0,2,0,2,0,4,2,,,,0,0,2,0,0,0,0,0,2,1,,,,
5953590,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,3,1,4,2,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,5,5
2107352,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,5
6973740,,,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,,6,6,,2,0,0,2,1,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,5,2
5838096,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,2,2,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,
5257879,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,3,0,5,2,,0,2,0,0,0,0,2,1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,0,0,6,3,,,,0,0,0,0,0,0,0,0,0,0,,,5,3
8835893,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,2,2,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,0,0,2,0,6,3,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,
5527018,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,2,2,2,2,0,0,8,4,,0,2,4,2,0,0,0,0,8,3,,2,2,0,0,0,2,6,3,,,,0,0,0,0,0,0,0,0,0,0,,,5,4
4228284,,,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,5,5,,2,3,1,6,3,,0,2,0,5,2,5,14,4,,2,2,0,2,2,2,0,0,10,5,,2,2,4,2,2,0,0,0,12,5,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,5,5
3971854,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,
3381820,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,4,5
4327814,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,,0,3,0,3,1,,0,0,0,5,2,0,7,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,4,2
3127703,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,,2,3,1,6,3,,0,0,4,5,2,5,16,4,,2,2,2,0,0,2,0,2,10,5,,2,2,0,0,2,2,2,0,10,5,,0,2,2,2,0,2,8,4,,,,2,0,2,2,0,0,2,2,10,5,,,5,5
1589591,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,4,2,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,5,5
