,,Zestaw →,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,2,,,,3,3,3,3,3,3,,,,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,5,5,,,,7,7,7,7,7,7,,,,,,8,8,8,8,8,8,8,8,,,,,,9,9,9,9,9,9,,,,,,10,10,10,,,,,,11,11,11,11,11,,,,,,12,12,12,,,,,,13,13,,,,,,14,14,14,14,14,,,,,,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
ID:,,Zadanie →,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,,suma punktów,l. zadań:,,A,B,C,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,A,B,C,D,E,F,G,H,suma punktów,l. zadań:,,A,B,C,D,E,F,G,I,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,,,A,B,C,D,E,F,G,H,total points:,total assign:,,,,A,B,C,D,E,F,total points:,total assign:,,,,A,B,C,total points:,total assign:,,,,A,B,C,D,E,total points:,total assign:,,,,A,B,C,total points:,total assign:,,,,A,B,total points:,total assign:,,,,A,B,C,D,E,total points:,total assign:,,,,A,B,C,D,E,F,G,H,I,J,K,total points:,total assign:,,all points:,,Kolokwium 1:,Kolokwium 2:,Kolokwium 3:,,średnia z kolokwiów:,,ocena z zadań:,,ocena z ćwiczeń:
5257879,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,3,0,5,2,,2,2,0,0,0,0,4,2,,0,2,2,0,0,2,0,0,6,3,,2,0,0,0,2,0,2,0,6,3,,0,2,2,2,0,0,6,3,,,,2,0,2,0,0,0,0,2,6,3,,,,2,2,2,0,0,0,6,3,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,2,2,0,4,2,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,43,,5,3,5,,4.33333333333333,,3,,3.5
3971854,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,2,,2,,2
6973740,,,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,,6,6,,2,0,0,2,1,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,2,0,0,0,6,3,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,5,2,5,,2,,2,,2
2421825,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,2,,2,,2
5527018,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,2,2,2,2,0,0,8,4,,2,2,4,2,2,0,2,2,16,7,,2,2,2,2,0,2,10,5,,,,2,0,2,2,2,2,2,2,14,7,,,,0,0,0,0,0,0,0,0,,,,2,0,0,2,1,,,,0,0,2,2,2,6,3,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,,5,4,5,,4.66666666666667,,3.5,,4
6162234,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,3,3,,0,3,0,3,1,,0,0,0,5,2,0,7,2,,2,0,0,0,0,2,0,0,4,2,,2,2,0,2,2,0,0,0,8,4,,0,0,2,0,2,2,6,3,,,,0,0,2,2,0,0,0,0,4,2,,,,0,0,0,0,0,0,0,0,,,,2,0,0,2,1,,,,0,0,0,2,2,4,2,,,,0,2,0,2,1,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,45,,5,5,4,,4.66666666666667,,3,,3.5
8599267,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,0,0,2,0,0,8,4,,2,2,0,2,2,2,2,0,12,6,,2,0,2,0,0,0,4,2,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,2,2,2,6,3,,,,2,2,2,2,2,10,5,,,,2,0,0,2,1,,,,2,2,4,2,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,,5,3,5,,4.33333333333333,,3,,3.5
7599730,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,,0,0,0,0,0,,0,0,0,5,2,5,12,3,,0,2,0,2,2,2,0,0,8,4,,2,2,0,0,2,0,0,0,6,3,,0,0,2,0,2,0,4,2,,,,0,0,2,0,0,2,0,2,6,3,,,,2,2,0,0,0,0,4,2,,,,0,2,2,4,2,,,,2,0,0,2,2,6,3,,,,0,2,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,54,,5,5,5,,5,,3,,3.5
8835893,,,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,,7,7,,2,3,0,5,2,,0,2,0,5,0,5,12,3,,2,2,0,0,0,2,0,0,6,3,,2,2,0,0,2,0,2,0,8,4,,2,0,2,0,2,0,6,3,,,,0,2,2,2,0,0,2,0,8,4,,,,2,2,2,2,0,2,10,5,,,,2,0,2,4,2,,,,0,0,0,2,0,2,1,,,,0,2,0,2,1,,,,0,0,0,0,,,,0,0,0,0,2,2,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,72,,5,5,5,,5,,4,,4.5
6957104,,,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,,5,5,,2,3,0,5,2,,0,0,0,5,0,0,5,1,,0,2,0,2,2,2,0,0,8,4,,0,2,0,2,0,0,0,0,4,2,,0,0,2,0,2,0,4,2,,,,0,0,0,0,0,0,2,2,4,2,,,,0,0,0,2,0,2,4,2,,,,2,0,2,4,2,,,,2,0,0,2,2,6,3,,,,0,2,0,2,1,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,53,,5,5,5,,5,,3,,3.5
3381820,,,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,,9,9,,0,3,0,3,1,,0,0,0,5,0,5,10,2,,0,2,2,0,0,2,0,2,8,4,,2,2,4,2,0,0,0,0,10,4,,0,0,2,0,2,0,4,2,,,,0,0,2,2,2,2,2,2,12,6,,,,0,0,0,0,0,0,0,0,,,,2,2,2,6,3,,,,2,2,2,2,2,10,5,,,,2,2,0,4,2,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,78,,4,5,4,,4.33333333333333,,4,,4
7903925,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,3,3,,2,3,0,5,2,,0,0,0,5,0,0,5,1,,0,2,2,2,2,2,0,0,10,5,,2,2,0,0,2,0,2,0,8,4,,2,0,2,0,2,2,8,4,,,,0,0,2,2,0,2,2,2,10,5,,,,0,0,0,0,0,2,2,1,,,,0,0,2,2,1,,,,0,0,0,2,2,4,2,,,,0,2,0,2,1,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,61,,5,5,5,,5,,3.5,,4
7837445,,,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,,4,4,,2,0,0,2,1,,2,2,0,0,0,5,9,3,,2,2,0,2,0,2,2,2,12,6,,2,2,0,2,0,0,2,0,8,4,,2,2,2,0,2,0,8,4,,,,2,2,2,0,0,0,0,0,6,3,,,,2,2,0,2,0,0,6,3,,,,0,0,0,0,0,,,,0,0,0,0,2,2,1,,,,2,2,0,4,2,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,63,,5,5,5,,5,,3.5,,4
3869368,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,2,3,1,6,3,,2,2,4,5,2,5,20,6,,0,2,0,2,2,2,0,0,8,4,,2,2,0,2,0,0,0,0,6,3,,2,2,0,2,2,2,10,5,,,,0,0,2,2,0,0,2,2,8,4,,,,2,2,0,2,0,0,6,3,,,,0,0,2,2,1,,,,2,0,2,2,2,8,4,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,75,,5,4,4,,4.33333333333333,,4,,4
1589591,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,4,2,,0,2,2,2,0,2,8,4,,,,0,0,2,2,0,2,2,2,10,5,,,,2,2,2,2,2,0,10,5,,,,2,2,2,6,3,,,,2,0,2,2,2,8,4,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,46,,5,5,3,,4.33333333333333,,3,,3.5
7850579,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,2,0,0,0,2,0,0,4,2,,0,2,0,2,2,0,0,0,6,3,,0,0,2,0,2,2,6,3,,,,0,0,2,2,0,0,2,0,6,3,,,,0,0,0,0,0,0,0,0,,,,2,2,2,6,3,,,,2,0,0,0,2,4,2,,,,0,2,0,2,1,,,,2,0,2,1,,,,0,0,2,0,2,4,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,43,,5,5,5,,5,,3,,3.5
1390455,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,4,4,,0,3,0,3,1,,0,0,0,5,0,5,10,2,,2,2,0,0,0,2,0,0,6,3,,2,2,0,2,2,2,2,0,12,6,,2,2,2,2,2,2,12,6,,,,0,0,2,2,0,0,2,2,8,4,,,,2,2,0,0,0,0,4,2,,,,2,0,0,2,1,,,,0,0,0,0,2,2,1,,,,2,2,0,4,2,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,67,,5,5,5,,5,,3.5,,4
4228284,,,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,5,5,,2,3,1,6,3,,0,2,0,5,2,5,14,4,,2,2,0,2,2,2,0,0,10,5,,2,2,4,2,2,0,0,0,12,5,,0,2,2,0,0,2,6,3,,,,0,2,2,2,2,2,2,2,14,7,,,,2,2,2,0,0,0,6,3,,,,2,0,2,4,2,,,,0,2,0,2,2,6,3,,,,2,2,0,4,2,,,,0,2,2,1,,,,0,0,2,0,0,2,1,,,,2,0,3,0,2,0,0,0,0,0,0,7,3,,98,,5,5,5,,5,,5,,5
6354837,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,,,2,,2,,2
3127703,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,,2,3,1,6,3,,0,0,4,5,2,5,16,4,,2,2,2,2,2,2,0,2,14,7,,2,2,4,0,2,2,2,0,14,6,,2,2,2,2,2,2,12,6,,,,2,0,2,2,2,2,2,2,14,7,,,,2,2,2,2,2,2,12,6,,,,2,2,2,6,3,,,,2,0,0,2,2,6,3,,,,2,0,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,103,,5,5,5,,5,,5,,5
6963332,,,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,,8,8,,2,3,1,6,3,,2,2,4,5,2,5,20,6,,2,2,2,2,2,2,2,2,16,8,,2,2,4,2,2,2,2,2,18,8,,2,2,2,2,2,2,12,6,,,,2,2,2,2,2,2,2,2,16,8,,,,2,2,2,2,2,2,12,6,,,,2,2,2,6,3,,,,2,2,2,2,2,10,5,,,,2,2,2,6,3,,,,2,2,4,2,,,,2,2,2,2,2,10,5,,,,2,0,3,2,2,2,0,0,0,0,0,11,5,,155,,5,5,5,,5,,5,,5
5838096,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,3,3,,2,0,0,2,1,,0,0,0,5,0,5,10,2,,0,2,0,0,0,0,0,0,2,1,,2,2,4,0,0,0,0,0,8,3,,0,0,2,0,2,0,4,2,,,,0,0,2,2,0,0,0,0,4,2,,,,0,0,0,0,0,0,0,0,,,,0,0,2,2,1,,,,0,0,0,2,2,4,2,,,,0,2,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,41,,5,5,5,,5,,3,,3.5
2107352,,,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,,7,7,,0,0,0,0,0,,0,0,0,5,2,0,7,2,,0,2,2,0,0,2,0,0,6,3,,2,2,0,2,2,0,2,0,10,5,,2,2,2,0,2,0,8,4,,,,0,0,2,2,2,0,2,2,10,5,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,2,2,1,,,,2,0,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,52,,5,5,5,,5,,3,,3.5
4327814,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,,0,3,0,3,1,,0,0,0,5,2,0,7,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,4,2,2,,2,,2,,2
6505909,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,,0,0,0,0,0,,0,0,0,5,0,0,5,1,,0,2,0,0,0,2,0,0,4,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,5,5,5,,5,,2,,2
5953590,,,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,,11,11,,2,3,1,6,3,,2,2,4,5,2,0,15,5,,2,2,2,2,0,2,2,2,14,7,,2,2,4,2,2,2,2,0,16,7,,2,2,2,2,2,2,12,6,,,,2,2,2,2,2,2,0,2,14,7,,,,2,2,2,2,0,0,8,4,,,,2,2,2,6,3,,,,2,2,0,2,2,8,4,,,,0,0,2,2,1,,,,2,0,2,1,,,,0,0,0,2,2,4,2,,,,0,0,0,2,0,0,0,0,0,0,0,2,1,,120,,5,5,5,,5,,5,,5
1994026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,2,0,5,0,0,7,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,5,4,5,,4.66666666666667,,2,,2
5579998,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,2,,2,,2
4575318,,,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,,9,9,,0,3,1,4,2,,0,0,0,5,0,5,10,2,,2,2,0,0,0,2,0,0,6,3,,0,2,0,2,0,0,2,0,6,3,,0,0,2,2,2,0,6,3,,,,0,0,2,2,0,0,2,0,6,3,,,,0,0,0,0,0,0,0,0,,,,0,0,2,2,1,,,,0,0,0,0,2,2,1,,,,0,2,0,2,1,,,,0,2,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,55,,5,5,5,,5,,3,,3.5
4579883,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,3,3,,2,0,0,2,1,,0,0,4,5,2,0,11,3,,2,2,0,2,2,2,0,0,10,5,,0,2,0,2,2,2,0,0,8,4,,0,0,2,0,0,2,4,2,,,,0,0,2,0,2,2,0,0,6,3,,,,0,2,2,0,0,0,4,2,,,,0,0,2,2,1,,,,2,0,0,0,0,2,1,,,,0,2,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,54,,5,5,5,,5,,3,,3.5
4570796,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,2,2,,2,0,0,2,1,,0,0,0,5,0,5,10,2,,0,2,0,0,0,2,0,0,4,2,,0,2,0,2,2,0,0,0,6,3,,0,0,2,0,2,0,4,2,,,,0,0,2,2,0,0,2,2,8,4,,,,0,0,0,0,0,0,0,0,,,,2,0,2,4,2,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,,5,5,5,,5,,3,,3.5
